id,Brand,Price,Currency,Color,Features,Condition,Condition Description,Seller Note,GPU,Processor,Processor Speed,Processor Speed Unit,Type,Width of the Display,Height of the Display,OS,Storage Type,Hard Drive Capacity,Hard Drive Capacity Unit,SSD Capacity,SSD Capacity Unit,Screen Size (inch),Ram Size,Ram Size Unit
1,other,303.8,$,gray,"Backlit Keyboard,  Built-in Microphone,  Built-in Webcam",New,"A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details.",undefined,intel,quad core,3.80,GHz,notebook/laptop,2160.0,1440.0,windows,ssd,512.0,gb,1.0,tb,14,8.0,gb
2,dell,400.0,$,black,"Backlit Keyboard, Bluetooth, Built-in Microphone, Built-in Webcam, LTE, Multi-Touch Trackpad, Widescreen Display, Wi-Fi",Very Good - Refurbished,"The item shows minimal wear and is backed by a one year warranty. It is fully functional and has been professionally refurbished, inspected and cleaned to very good condition by qualified sellers. The item includes original or new accessories and will come in new generic packaging. See the seller's listing for full details.","aaa pcs is a microsoft authorized refurbisher partner. (mar) your computer will ship securely and neatly in a new brown box to ensure a great delivery experience. minimal imperfections may be present on the unit, such as light scuffs or light scratches. genuine ac adapter & battery included with your order. your order is backed by our 30 day money-back guarantee, and extended 1-year allstate warranty.",intel,intel core i7 8th generation,4.20,GHz,notebook/laptop,1920.0,1080.0,windows,ssd,2.0,tb,,unknown,14,,unknown
3,dell,175.0,$,black,"10/100 LAN Card, Backlit Keyboard, Bluetooth, Built-in Microphone, Built-in Webcam, Touchscreen, Widescreen Display, Wi-Fi",Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.","well kept, fully functional, includes battery, ac adapter and power cord.",intel,intel core i5-6300u,2.40,GHz,notebook/laptop,1920.0,1080.0,windows,ssd,500.0,gb,500.0,gb,14,16.0,gb
4,hp,85.0,$,black,"Bluetooth, Built-in Microphone, Built-in Webcam, Widescreen Display, Wi-Fi",Good - Refurbished,"The item shows moderate wear and is backed by a one year warranty. It is fully functional and has been professionally refurbished, inspected and cleaned to good condition by qualified sellers. The item includes original or new accessories and will come in a new generic packaging. See the seller's listing for full details.",1-year allstate warranty. the original hp charger is included.,intel,intel celeron n,2.40,GHz,notebook/laptop,1366.0,768.0,chrome,emmc,16.0,gb,,unknown,11.6,4.0,gb
5,dell,101.25,$,other,"10/100 LAN Card, Built-in Microphone, Built-in Webcam, Wi-Fi",Good - Refurbished,"The item shows moderate wear and is backed by a one year warranty. It is fully functional and has been professionally refurbished, inspected and cleaned to good condition by qualified sellers. The item includes original or new accessories and will come in a new generic packaging. See the seller's listing for full details.",laptops is tested & fully working with some sign of use (scratches and/or marks on case. may have scratches and spots on screen). please note our images are an example of the laptop you will receive. model numbers will vary.windows 10 installed. comes with charger and power lead.,other,intel core i5 6th generation,1.40,GHz,notebook/laptop,1366.0,768.0,windows,ssd,,unknown,256.0,gb,12.5,8.0,gb
6,acer,50.0,$,black,"Touchscreen, Bluetooth",Undefined,Undefined,undefined,other,intel celeron,1.60,GHz,notebook/laptop,1366.0,768.0,chrome,ssd,,unknown,16.0,gb,11.6,4.0,gb
7,hp,39.6,$,black,"Bluetooth, Built-in Webcam",Undefined,Undefined,undefined,other,intel celeron,1.60,GHz,notebook/laptop,,,chrome,ssd,16.0,gb,16.0,gb,11.6,4.0,gb
8,acer,35.0,$,gray,,Undefined,Undefined,undefined,other,intel celeron dual-core,1.00,GHz,notebook/laptop,,,chrome,unknown,16.0,gb,,unknown,11.6,2.0,gb
9,dell,280.0,$,black,Wi-Fi,Excellent - Refurbished,"The item is in like-new condition, backed by a one year warranty. It has been professionally refurbished, inspected and cleaned to excellent condition by qualified sellers. The item includes original or new accessories and will come in new generic packaging. See the seller's listing for full details.",undefined,other,i7 7th,2.80,GHz,notebook/laptop,1920.0,1080.0,windows,ssd,512.0,gb,500.0,gb,14,16.0,gb
10,hp,125.0,$,silver,"Touchscreen, Bluetooth, Built-in Webcam, Wi-Fi, Backlit Keyboard, Built-in Microphone",Undefined,Undefined,undefined,intel,intel core i3 10th generation,2.10,GHz,notebook/laptop,1920.0,1080.0,chrome,emmc,,unknown,64.0,gb,14,8.0,gb
